lot frontage,lot area,overall qual,mas vnr area,exter qual,bsmt qual,bsmt exposure,bsmtfin type 1,total bsmt sf,heating qc,gr liv area,kitchen qual,totrms abvgrd,fireplaces,fireplace qu,garage finish,garage cars,garage area,garage qual,garage cond,wood deck sf,saleprice,ms subclass_60,ms zoning_RM,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_StoneBr,roof style_Hip,exterior 1st_VinylSd,exterior 2nd_VinylSd,foundation_CBlock,foundation_PConc,sale type_New,lot shape_Reg,mas vnr type_BrkFace,mas vnr type_None,mas vnr type_Stone,garage type_Attchd,garage type_Detchd,bldg age,bldg remod age,garage age,total bath
72.77464788732394,13517,6,289.0,4,3,1,6,725.0,5,1479,4,6,0,0,2,2.0,475.0,3,3,0,130500,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,44,15,44.0,4.0
43.0,11492,7,132.0,4,4,1,6,913.0,5,2122,4,8,1,3,2,2.0,559.0,3,3,0,220000,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,24,23,23.0,5.0
68.0,7922,5,0.0,3,3,1,6,1057.0,3,1057,4,5,0,0,1,1.0,246.0,3,3,0,109000,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,67,13,67.0,2.0
73.0,9802,5,0.0,3,4,1,1,384.0,4,1444,3,7,0,0,3,2.0,400.0,3,3,100,174000,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,14,13,13.0,4.0
82.0,14235,6,0.0,3,2,1,1,676.0,3,1445,3,6,0,0,1,2.0,484.0,3,3,0,138500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,120,27,63.0,2.0
137.0,16492,6,0.0,4,3,1,5,1517.0,5,1888,4,6,1,4,3,2.0,578.0,3,3,0,190000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,54,18,54.0,4.0
35.0,3675,6,82.0,3,4,4,6,547.0,4,1072,3,5,0,0,3,2.0,525.0,3,3,0,140000,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,15,14,15.0,3.0
75.19245283018869,12160,5,180.0,3,3,1,3,1188.0,2,1188,3,6,0,0,2,2.0,531.0,3,3,0,142000,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,61,61,61.0,2.0
62.76923076923077,15783,5,0.0,3,3,1,3,924.0,3,924,3,6,0,0,1,1.0,420.0,3,3,0,112500,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,68,68,68.0,1.0
70.0,11606,5,192.0,3,4,3,3,1040.0,3,2080,2,9,2,3,1,2.0,504.0,3,3,335,135000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,51,51,51.0,7.0
21.0,1680,6,232.0,3,3,1,5,483.0,3,987,3,4,0,0,1,1.0,264.0,3,3,0,85400,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,49,49,49.0,3.0
64.0,7488,7,0.0,4,4,3,6,1208.0,5,1208,4,6,0,0,2,2.0,632.0,3,3,105,183600,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,15,15,15.0,2.0
120.0,26400,5,0.0,4,0,0,0,0.0,5,2016,3,7,1,3,1,2.0,576.0,3,3,0,131000,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,140,13,120.0,1.0
24.0,2645,8,456.0,4,4,1,6,960.0,5,1607,4,7,0,0,1,2.0,480.0,3,3,169,200000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,21,20,20.0,5.0
74.0,9627,7,0.0,4,4,3,6,1351.0,5,1361,4,6,0,0,2,2.0,610.0,3,3,0,193000,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,13,13,13.0,2.0
93.0,10114,5,0.0,3,5,3,1,1430.0,5,1430,4,7,0,0,2,2.0,624.0,3,3,0,173500,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,16,15,16.0,2.0
34.0,4571,5,0.0,3,3,1,1,624.0,2,1344,3,7,0,0,1,3.0,513.0,2,2,0,98000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,104,70,104.0,1.0
80.0,8816,5,0.0,3,3,1,3,1121.0,3,1121,3,5,0,0,1,2.0,480.0,3,3,0,139000,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,57,57,57.0,2.0
71.0,8197,6,148.0,3,3,1,1,660.0,5,1285,3,7,1,3,2,2.0,528.0,3,3,138,143500,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,43,43,43.0,3.0
72.0,8640,7,0.0,3,4,2,6,756.0,5,1547,4,7,0,0,1,2.0,614.0,3,3,169,215200,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,11,11,11.0,4.0
109.0,8724,5,0.0,3,4,1,4,894.0,4,894,3,5,1,1,3,2.0,450.0,3,3,0,129000,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,52,52,52.0,1.0
40.0,5664,8,0.0,4,4,1,6,1501.0,5,1659,5,5,1,5,3,2.0,499.0,3,3,212,278000,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,20,20,20.0,3.0
103.0,12867,8,0.0,4,5,3,1,1209.0,5,2253,5,8,1,4,3,2.0,575.0,3,3,243,344133,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,15,14,15.0,4.0
72.02564102564102,7980,6,0.0,3,4,1,5,1168.0,5,1187,3,6,0,0,3,2.0,420.0,3,3,483,185000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,28,13,28.0,3.0
